"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"726","A Glowing woman can help other women glow and still be lit. <U+0001F481><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F525>
#businessopportunity 
#worldwide 
#vip… https://t.co/lzQYhVR2o6",FALSE,2,NA,2019-03-18 16:15:49,TRUE,NA,"1107676994026786817",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arigetsfit",1,FALSE,FALSE,NA,NA
"727","When you have hit 5 states in one day you need your smart coffee to make it home the last morning of vacation!… https://t.co/Jxk61dfFl3",FALSE,1,NA,2019-03-18 16:14:08,TRUE,NA,"1107676570876039168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","maryteresa044",0,FALSE,FALSE,NA,NA
"728","RT @TabSoup: Treat your body right with our many different healthy options – From our organic, gluten-free Benje’s Naturals soups, our low-…",FALSE,0,NA,2019-03-18 16:11:47,FALSE,NA,"1107675977763774465",NA,"<a href=""https://twitter.com/vehement_soup"" rel=""nofollow"">vehement_soup</a>","vehement_soup",1,TRUE,FALSE,NA,NA
"729","RT @LanaReid: Vegetarian lifestyle humor... 

#LanaReid #vegetarian #eathealthy #life #plantbased #organic #food #healthyfood #motivation #…",FALSE,0,NA,2019-03-18 16:10:40,FALSE,NA,"1107675697827512320",NA,"<a href=""https://topcreativelife.com"" rel=""nofollow"">myCBot</a>","ChrisWill1337",1,TRUE,FALSE,NA,NA
"730","RT @PhilippeDouyon: Neuroplasticity is our Brain’s Superpower. It describes our Brain’s ability to learn, adapt, and heal after injury. #ne…",FALSE,0,NA,2019-03-18 16:10:24,FALSE,NA,"1107675628147494912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","empathgirl",1,TRUE,FALSE,NA,NA
"731","Vegetarian lifestyle humor... 

#LanaReid #vegetarian #eathealthy #life #plantbased #organic #food #healthyfood… https://t.co/fym8iIesdm",FALSE,3,NA,2019-03-18 16:10:19,TRUE,NA,"1107675607549251585",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LanaReid",1,FALSE,FALSE,NA,NA
"732","Here is a #healthy #recipe for PUMPKIN YOGURT from my friends at #GuidingStars. Check out their site for more healt… https://t.co/U6RjlAdp98",FALSE,0,NA,2019-03-18 16:10:18,TRUE,NA,"1107675606400094208",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","O2ODevelopment",0,FALSE,FALSE,NA,NA
"733","Here is a #healthy #recipe for PUMPKIN YOGURT from my friends at #GuidingStars. Check out their site for more healt… https://t.co/awzU8SzY0A",FALSE,0,NA,2019-03-18 16:10:18,TRUE,NA,"1107675603073937408",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","O2OConstruction",0,FALSE,FALSE,NA,NA
"734","20 Healthy &amp; Delicious Ways To Prepare Lentils - https://t.co/UBZuamJ6BG #lentils #healthyfood",FALSE,1,NA,2019-03-18 16:10:02,FALSE,NA,"1107675536405475328",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","TrialandEater",0,FALSE,FALSE,NA,NA
"735","RT @concept_iam: Green smoothies is Good for every activities in life, @concept_iam 
.
.
.
.
.
.
.#smoothie #vegan #healthy #healthyfood #b…",FALSE,0,NA,2019-03-18 16:09:37,FALSE,NA,"1107675435091918848",NA,"<a href=""http://www.richvdo.com"" rel=""nofollow"">twitterbot-follower</a>","kimsalsan",3,TRUE,FALSE,NA,NA
